Date,Daily Cases
1/30/2020,1
1/31/2020,0
2/1/2020,0
2/2/2020,1
2/3/2020,1
2/4/2020,0
2/5/2020,0
2/6/2020,0
2/7/2020,0
2/8/2020,0
2/9/2020,0
2/10/2020,0
2/11/2020,0
2/12/2020,0
2/13/2020,0
2/14/2020,0
2/15/2020,0
2/16/2020,0
2/17/2020,0
2/18/2020,0
2/19/2020,0
2/20/2020,0
2/21/2020,0
2/22/2020,0
2/23/2020,0
2/24/2020,0
2/25/2020,0
2/26/2020,0
2/27/2020,0
2/28/2020,0
2/29/2020,0
3/1/2020,0
3/2/2020,2
3/3/2020,0
3/4/2020,23
3/5/2020,2
3/6/2020,1
3/7/2020,3
3/8/2020,5
3/9/2020,4
3/10/2020,13
3/11/2020,6
3/12/2020,11
3/13/2020,9
3/14/2020,20
3/15/2020,11
3/16/2020,6
3/17/2020,23
3/18/2020,14
3/19/2020,38
3/20/2020,50
3/21/2020,86
3/22/2020,66
3/23/2020,103
3/24/2020,37
3/25/2020,121
3/26/2020,70
3/27/2020,160
3/28/2020,100
3/29/2020,37
3/30/2020,227
3/31/2020,146
4/1/2020,601
4/2/2020,545
4/3/2020,24
4/4/2020,515
4/5/2020,506
4/6/2020,1190
4/7/2020,533
4/8/2020,605
4/9/2020,809
4/10/2020,873
4/11/2020,848
4/12/2020,759
4/13/2020,1248
4/14/2020,1034
4/15/2020,835
4/16/2020,1108
4/17/2020,922
4/18/2020,1370
4/19/2020,1893
4/20/2020,924
4/21/2020,1541
4/22/2020,1290
4/23/2020,1707
4/24/2020,1453
4/25/2020,1753
4/26/2020,1607
4/27/2020,1561
4/28/2020,1873
4/29/2020,1738
4/30/2020,1801
5/1/2020,2394
5/2/2020,2442
5/3/2020,2806
5/4/2020,3932
5/5/2020,2963
5/6/2020,3587
5/7/2020,3364
5/8/2020,3344
5/9/2020,3113
5/10/2020,4353
5/11/2020,3607
5/12/2020,3524
5/13/2020,3763
5/14/2020,3942
5/15/2020,3787
5/16/2020,4864
5/17/2020,5050
5/18/2020,4630
5/19/2020,6147
5/20/2020,5553
5/21/2020,6198
5/22/2020,6568
5/23/2020,6629
5/24/2020,7113
5/25/2020,6414
5/26/2020,5843
5/27/2020,7293
5/28/2020,7300
5/29/2020,8105
5/30/2020,8336
5/31/2020,8782
6/1/2020,7761
6/2/2020,8821
6/3/2020,9633
6/4/2020,9889
6/5/2020,9471
6/6/2020,10438
6/7/2020,10864
6/8/2020,8442
6/9/2020,10218
6/10/2020,10459
6/11/2020,10930
6/12/2020,11458
6/13/2020,11929
6/14/2020,11502
6/15/2020,10667
6/16/2020,10974
6/17/2020,12881
6/18/2020,13586
6/19/2020,14516
6/20/2020,15403
6/21/2020,14831
6/22/2020,14933
6/23/2020,15968
6/24/2020,16922
6/25/2020,17296
6/26/2020,18552
6/27/2020,19906
6/28/2020,19459
6/29/2020,18522
6/30/2020,18641
7/1/2020,19160
7/2/2020,20903
7/3/2020,22771
7/4/2020,24850
7/5/2020,24248
7/6/2020,22251
7/7/2020,22753
7/8/2020,24879
7/9/2020,26506
7/10/2020,27114
7/11/2020,28606
7/12/2020,28732
7/13/2020,28498
7/14/2020,29429
7/15/2020,32676
7/16/2020,34975
7/17/2020,35252
7/18/2020,38697
7/19/2020,40425
7/20/2020,37132
7/21/2020,37740
7/22/2020,45720
7/23/2020,49310
7/24/2020,48916
7/25/2020,48611
7/26/2020,49981
7/27/2020,44457
7/28/2020,51596
7/29/2020,50294
7/30/2020,52783
7/31/2020,61242
8/1/2020,54735
8/2/2020,52972
8/3/2020,52050
8/4/2020,52509
8/5/2020,56282
8/6/2020,62538
8/7/2020,61537
8/8/2020,64399
8/9/2020,62064
8/10/2020,53601
8/11/2020,60963
8/12/2020,66999
8/13/2020,64553
8/14/2020,64732
8/15/2020,64030
8/16/2020,57711
8/17/2020,55018
8/18/2020,64572
8/19/2020,69672
8/20/2020,68900
8/21/2020,69876
8/22/2020,69239
8/23/2020,61408
8/24/2020,60975
8/25/2020,57224
8/26/2020,85687
8/27/2020,77266
8/28/2020,76472
8/29/2020,78761
8/30/2020,78512
