Date,Daily cases
3/5/2020,1
3/7/2020,0
3/9/2020,0
3/10/2020,0
3/11/2020,0
3/12/2020,0
3/13/2020,0
3/14/2020,1
3/15/2020,3
3/16/2020,0
3/17/2020,1
3/18/2020,7
3/19/2020,3
3/20/2020,3
3/21/2020,2
3/22/2020,6
3/23/2020,6
3/24/2020,6
3/25/2020,2
3/26/2020,4
3/27/2020,14
3/28/2020,8
3/30/2020,10
3/31/2020,20
4/1/2020,30
4/2/2020,27
4/3/2020,75
4/4/2020,43
4/5/2020,62
4/6/2020,30
4/7/2020,40
4/8/2020,49
4/9/2020,18
4/10/2020,16
4/11/2020,16
4/12/2020,28
4/13/2020,61
4/14/2020,52
4/15/2020,6
4/16/2020,50
4/17/2020,66
4/18/2020,43
4/19/2020,49
4/20/2020,14
4/21/2020,56
4/22/2020,15
4/23/2020,27
4/24/2020,13
4/25/2020,7
4/26/2020,11
4/27/2020,2
4/28/2020,6
4/29/2020,7
4/30/2020,22
5/1/2020,6
5/2/2020,17
5/3/2020,21
5/4/2020,7
5/5/2020,7
5/6/2020,11
5/7/2020,15
5/8/2020,10
5/9/2020,31
5/10/2020,33
5/11/2020,79
5/12/2020,51
5/13/2020,41
5/14/2020,47
5/15/2020,40
5/16/2020,55
5/17/2020,42
5/18/2020,41
5/19/2020,42
5/20/2020,27
5/21/2020,38
5/22/2020,62
5/23/2020,52
5/24/2020,41
5/25/2020,66
5/26/2020,71
5/27/2020,107
5/28/2020,117
5/29/2020,169
5/30/2020,74
6/1/2020,94
6/2/2020,99
6/3/2020,129
6/4/2020,127
6/5/2020,143
6/6/2020,206
6/7/2020,154
6/9/2020,178
6/10/2020,191
6/11/2020,209
6/12/2020,164
6/13/2020,253
6/14/2020,237
6/15/2020,219
6/16/2020,213
6/17/2020,269
6/18/2020,352
6/19/2020,499
6/20/2020,546
6/21/2020,730
6/22/2020,872
6/23/2020,879
6/24/2020,891
6/25/2020,920
6/26/2020,985
6/27/2020,1087
6/28/2020,983
6/29/2020,975
6/30/2020,945
7/1/2020,1018
7/2/2020,1213
7/3/2020,1892
7/4/2020,1850
7/5/2020,1590
7/6/2020,1831
7/7/2020,1879
7/8/2020,1924
7/9/2020,1410
7/10/2020,1278
7/11/2020,1178
7/12/2020,1269
7/13/2020,1550
7/14/2020,1524
7/15/2020,1597
7/16/2020,1676
7/17/2020,1478
7/18/2020,1284
7/19/2020,1296
7/20/2020,1198
7/21/2020,1430
7/22/2020,1554
7/23/2020,1567
7/24/2020,1640
7/25/2020,1593
7/26/2020,1473
7/27/2020,1610
7/28/2020,1764
7/29/2020,1811
7/30/2020,1986
7/31/2020,2083
8/1/2020,1891
8/2/2020,983
8/3/2020,1286
8/4/2020,2012
8/5/2020,2092
8/6/2020,2207
8/7/2020,2256
8/8/2020,1982
8/9/2020,1256
8/10/2020,1896
8/11/2020,1897
8/12/2020,1931
8/13/2020,1921
8/14/2020,1863
8/15/2020,1102
8/16/2020,894
8/17/2020,1682
8/18/2020,1763
8/19/2020,1724
8/20/2020,1967
8/21/2020,2474
8/22/2020,2384
8/23/2020,1824
8/24/2020,2579
8/25/2020,3018
8/26/2020,2795
8/27/2020,2932
8/28/2020,2751
8/29/2020,2924
8/30/2020,1873
